TokenIndex,DetectionIndex,BurstIteration,CacheSet,Probe
0,0,18,37,36
0,0,18,38,38
0,0,18,39,38
0,0,18,40,38
0,0,18,41,36
0,0,18,42,34
0,0,18,43,36
0,0,18,44,40
0,0,18,45,42
0,0,18,46,34
0,0,18,47,34
0,0,18,48,38
0,0,18,49,42
0,0,18,50,36
0,0,18,51,32
0,0,18,52,36
0,0,18,53,38
0,0,18,54,36
0,0,18,55,34
0,0,18,56,36
0,0,18,57,40
0,0,18,58,38
0,0,18,59,34
0,0,18,60,38
0,0,18,61,38
0,0,18,62,38
0,0,18,63,38
0,0,19,0,38
0,0,19,1,38
0,0,19,2,42
0,0,19,3,952
0,0,19,4,692
0,0,19,5,34
0,0,19,6,36
0,0,19,7,36
0,0,19,8,36
0,0,19,9,36
0,0,19,10,40
0,0,19,11,34
0,0,19,12,32
0,0,19,13,34
0,0,19,14,36
0,0,19,15,36
0,0,19,16,38
0,0,19,17,40
0,0,19,18,32
0,0,19,19,34
0,0,19,20,36
0,0,19,21,40
0,0,19,22,40
0,0,19,23,36
0,0,19,24,36
0,0,19,25,38
0,0,19,26,36
0,0,19,27,36
0,0,19,28,38
0,0,19,29,38
0,0,19,30,40
0,0,19,31,34
0,0,19,32,36
0,0,19,33,38
0,0,19,34,38
0,0,19,35,38
0,0,19,36,48
0,0,19,37,36
0,0,19,38,36
0,0,19,39,36
0,0,19,40,34
0,0,19,41,36
0,0,19,42,38
0,0,19,43,42
0,0,19,44,34
0,0,19,45,36
0,0,19,46,36
0,0,19,47,36
0,0,19,48,34
0,0,19,49,36
0,0,19,50,36
0,0,19,51,36
0,0,19,52,40
0,0,19,53,34
0,0,19,54,36
0,0,19,55,38
0,0,19,56,42
0,0,19,57,42
0,0,19,58,34
0,0,19,59,38
0,0,19,60,38
0,0,19,61,40
0,0,19,62,36
0,0,19,63,36
0,0,20,0,34
0,0,20,1,40
0,0,20,2,34
0,0,20,3,36
0,0,20,4,34
0,0,20,5,38
0,0,20,6,40
0,0,20,7,38
0,0,20,8,38
0,0,20,9,38
0,0,20,10,36
0,0,20,11,36
0,0,20,12,38
0,0,20,13,38
0,0,20,14,36
0,0,20,15,32
0,0,20,16,38
0,0,20,17,36
0,0,20,18,38
0,0,20,19,38
0,0,20,20,38
0,0,20,21,36
0,0,20,22,40
0,0,20,23,38
0,0,20,24,36
0,0,20,25,36
0,0,20,26,36
0,0,20,27,40
0,0,20,28,36
0,0,20,29,38
0,0,20,30,36
0,0,20,31,32
0,0,20,32,34
0,0,20,33,36
0,0,20,34,36
0,0,20,35,38
0,0,20,36,36
0,0,20,37,38
0,0,20,38,34
0,0,20,39,36
0,0,20,40,34
0,0,20,41,38
0,0,20,42,38
0,0,20,43,38
0,0,20,44,40
0,0,20,45,34
0,0,20,46,38
0,0,20,47,34
0,0,20,48,36
0,0,20,49,38
0,0,20,50,36
0,0,20,51,42
0,0,20,52,32
0,0,20,53,34
0,0,20,54,40
0,0,20,55,40
0,0,20,56,40
0,0,20,57,36
0,0,20,58,36
0,0,20,59,36
0,0,20,60,34
0,0,20,61,36
0,0,20,62,38
0,0,20,63,38
0,0,21,0,38
0,0,21,1,38
0,0,21,2,34
0,0,21,3,34
0,0,21,4,34
0,0,21,5,36
0,0,21,6,38
0,0,21,7,32
0,0,21,8,36
0,0,21,9,40
0,0,21,10,40
0,0,21,11,34
0,0,21,12,32
0,0,21,13,38
0,0,21,14,38
0,0,21,15,38
0,0,21,16,32
0,0,21,17,36
0,0,21,18,38
0,0,21,19,40
0,0,21,20,40
0,0,21,21,36
0,0,21,22,36
0,0,21,23,38
0,0,21,24,38
0,0,21,25,38
0,0,21,26,40
0,0,21,27,36
0,0,21,28,38
0,0,21,29,36
0,0,21,30,38
0,0,21,31,38
0,0,21,32,38
0,0,21,33,36
0,0,21,34,34
0,0,21,35,36
